No,House Type,Address,Township,District,Bed Room,Single Room,Lat/Long,Price (THB)/Per Month,Map Location,Remark
52,Townhouse,"152 Moo 7, Chiang Mai",Samoeng,San Na Meng,4,1,"18.757801, 98.841958",7001,"https://www.google.com/maps?q=18.757801,98.841958",Renovated
53,Apartment,"153 Moo 2, Chiang Mai",Mae Ai,Nong Han,1,1,"18.645526, 99.072723",8568,"https://www.google.com/maps?q=18.645526,99.072723",Great view
54,Bungalow,"154 Moo 8, Chiang Mai",Doi Saket,San Sai Luang,1,2,"18.633374, 98.916201",8191,"https://www.google.com/maps?q=18.633374,98.916201",Near school
55,Condo,"155 Moo 5, Chiang Mai",Doi Tao,San Sai Luang,5,2,"18.853787, 98.983619",8644,"https://www.google.com/maps?q=18.853787,98.983619",Fully furnished
56,Townhouse,"156 Moo 7, Chiang Mai",Chiang Dao,San Sai Luang,1,3,"18.875441, 99.043667",8567,"https://www.google.com/maps?q=18.875441,99.043667",Renovated
57,Bungalow,"157 Moo 3, Chiang Mai",Chiang Dao,Nong Han,3,1,"18.847451, 98.829451",8245,"https://www.google.com/maps?q=18.847451,98.829451",Urgent sale
58,Apartment,"158 Moo 9, Chiang Mai",Mae Wang,San Sai Luang,3,2,"18.842846, 99.043931",12450,"https://www.google.com/maps?q=18.842846,99.043931",Price negotiable
59,Condo,"159 Moo 3, Chiang Mai",Hang Dong,San Sai Luang,4,2,"18.800063, 99.078419",11323,"https://www.google.com/maps?q=18.800063,99.078419",Near market
60,Bungalow,"160 Moo 6, Chiang Mai",Hang Dong,San Na Meng,3,3,"18.818466, 99.062979",11415,"https://www.google.com/maps?q=18.818466,99.062979",Great view
61,Detached,"161 Moo 6, Chiang Mai",San Pa Tong,San Na Meng,1,3,"18.798831, 98.999194",8510,"https://www.google.com/maps?q=18.798831,98.999194",Near market
62,Villa,"162 Moo 9, Chiang Mai",Hang Dong,San Sai Luang,4,2,"18.746167, 99.031192",9634,"https://www.google.com/maps?q=18.746167,99.031192",Price negotiable
63,Townhouse,"163 Moo 1, Chiang Mai",Omkoi,Nong Han,3,3,"18.797378, 99.001317",10581,"https://www.google.com/maps?q=18.797378,99.001317",Great view
64,Bungalow,"164 Moo 2, Chiang Mai",Mae On,San Na Meng,3,2,"18.948119, 98.974816",10856,"https://www.google.com/maps?q=18.948119,98.974816",Fully furnished
65,Townhouse,"165 Moo 2, Chiang Mai",Hot,Mae Faek,5,3,"18.86419, 98.874493",7818,"https://www.google.com/maps?q=18.86419,98.874493",Quiet area
66,Detached,"166 Moo 10, Chiang Mai",Mae On,San Na Meng,1,3,"18.660125, 99.048248",11772,"https://www.google.com/maps?q=18.660125,99.048248",Urgent sale
67,Bungalow,"167 Moo 4, Chiang Mai",Mueang,Nong Han,5,1,"18.938903, 98.83374",6729,"https://www.google.com/maps?q=18.938903,98.83374",Fully furnished
68,Townhouse,"168 Moo 7, Chiang Mai",Hang Dong,San Sai Luang,2,1,"18.846218, 99.016661",9046,"https://www.google.com/maps?q=18.846218,99.016661",Quiet area
69,Apartment,"169 Moo 10, Chiang Mai",Hot,Nong Han,5,2,"18.762904, 98.957973",11059,"https://www.google.com/maps?q=18.762904,98.957973",Near market
70,Apartment,"170 Moo 7, Chiang Mai",Mae On,Mae Faek,5,3,"18.889474, 98.828199",9264,"https://www.google.com/maps?q=18.889474,98.828199",Fully furnished
71,Bungalow,"171 Moo 9, Chiang Mai",Phrao,San Na Meng,1,2,"18.804654, 98.938142",12834,"https://www.google.com/maps?q=18.804654,98.938142",Price negotiable
72,Apartment,"172 Moo 10, Chiang Mai",Mae Rim,Mae Faek,3,2,"18.637094, 98.88019",10230,"https://www.google.com/maps?q=18.637094,98.88019",Investment opportunity
73,Townhouse,"173 Moo 7, Chiang Mai",Samoeng,San Sai Luang,1,3,"18.666755, 98.996362",7038,"https://www.google.com/maps?q=18.666755,98.996362",Quiet area
74,Townhouse,"174 Moo 6, Chiang Mai",Doi Saket,Mae Faek,1,2,"18.634406, 99.071228",9683,"https://www.google.com/maps?q=18.634406,99.071228",Fully furnished
75,Detached,"175 Moo 2, Chiang Mai",Samoeng,San Na Meng,2,3,"18.975239, 99.004965",10889,"https://www.google.com/maps?q=18.975239,99.004965",Quiet area
76,Apartment,"176 Moo 9, Chiang Mai",Mae Ai,Mae Faek,3,3,"18.614929, 99.093354",12505,"https://www.google.com/maps?q=18.614929,99.093354",Near market
77,Apartment,"177 Moo 5, Chiang Mai",Chom Thong,San Sai Luang,4,2,"18.620966, 99.066207",12659,"https://www.google.com/maps?q=18.620966,99.066207",New listing
78,Villa,"178 Moo 3, Chiang Mai",Mae Rim,Mae Faek,5,3,"18.722557, 98.898099",7728,"https://www.google.com/maps?q=18.722557,98.898099",Near school
79,Villa,"179 Moo 7, Chiang Mai",Doi Lo,San Sai Luang,5,1,"18.841778, 98.969529",10515,"https://www.google.com/maps?q=18.841778,98.969529",New listing
80,Villa,"180 Moo 3, Chiang Mai",San Pa Tong,Nong Han,5,1,"18.604727, 98.913485",8363,"https://www.google.com/maps?q=18.604727,98.913485",Renovated
81,Townhouse,"181 Moo 10, Chiang Mai",Doi Tao,Nong Han,2,3,"18.738012, 99.034779",11897,"https://www.google.com/maps?q=18.738012,99.034779",Fully furnished
82,Apartment,"182 Moo 1, Chiang Mai",Omkoi,San Sai Luang,5,2,"18.873056, 99.043756",9539,"https://www.google.com/maps?q=18.873056,99.043756",Price negotiable
83,Apartment,"183 Moo 1, Chiang Mai",Wiang Haeng,San Na Meng,2,3,"18.923011, 98.976283",9656,"https://www.google.com/maps?q=18.923011,98.976283",Quiet area
84,Detached,"184 Moo 10, Chiang Mai",Wiang Haeng,San Sai Luang,1,1,"18.604275, 99.094819",12383,"https://www.google.com/maps?q=18.604275,99.094819",Quiet area
85,Villa,"185 Moo 6, Chiang Mai",Doi Tao,San Sai Luang,5,2,"18.750435, 98.911739",8710,"https://www.google.com/maps?q=18.750435,98.911739",Quiet area
86,Bungalow,"186 Moo 9, Chiang Mai",Mae Chaem,San Na Meng,2,3,"18.916242, 98.863869",10948,"https://www.google.com/maps?q=18.916242,98.863869",Price negotiable
87,Bungalow,"187 Moo 10, Chiang Mai",Omkoi,San Sai Luang,3,2,"18.820619, 98.85526",9920,"https://www.google.com/maps?q=18.820619,98.85526",Near school
88,Condo,"188 Moo 6, Chiang Mai",Mae Wang,Mae Faek,5,2,"18.69908, 99.016907",9049,"https://www.google.com/maps?q=18.69908,99.016907",Near market
89,Townhouse,"189 Moo 2, Chiang Mai",Samoeng,Mae Faek,4,1,"18.617431, 98.967436",12767,"https://www.google.com/maps?q=18.617431,98.967436",Near market
90,Detached,"190 Moo 9, Chiang Mai",Doi Lo,Mae Faek,3,3,"18.871441, 98.844807",7664,"https://www.google.com/maps?q=18.871441,98.844807",Near market
91,Apartment,"191 Moo 2, Chiang Mai",Mae On,Mae Faek,4,3,"18.81995, 98.967304",7510,"https://www.google.com/maps?q=18.81995,98.967304",Price negotiable
92,Bungalow,"192 Moo 2, Chiang Mai",Chom Thong,San Na Meng,4,3,"18.660501, 99.013416",10543,"https://www.google.com/maps?q=18.660501,99.013416",Renovated
93,Townhouse,"193 Moo 2, Chiang Mai",Mae Rim,Mae Faek,3,3,"18.807446, 99.014113",9074,"https://www.google.com/maps?q=18.807446,99.014113",Investment opportunity
94,Villa,"194 Moo 8, Chiang Mai",Doi Saket,San Sai Luang,3,3,"18.915183, 99.09491",10051,"https://www.google.com/maps?q=18.915183,99.09491",Price negotiable
95,Townhouse,"195 Moo 7, Chiang Mai",San Pa Tong,Nong Han,5,1,"18.797315, 99.082499",6947,"https://www.google.com/maps?q=18.797315,99.082499",Renovated
96,Bungalow,"196 Moo 8, Chiang Mai",Doi Saket,San Sai Luang,1,3,"18.68202, 98.863192",11508,"https://www.google.com/maps?q=18.68202,98.863192",Investment opportunity
97,Townhouse,"197 Moo 8, Chiang Mai",Mae On,San Sai Luang,5,2,"18.815968, 98.846152",9318,"https://www.google.com/maps?q=18.815968,98.846152",Near school
98,Detached,"198 Moo 9, Chiang Mai",Doi Saket,Mae Faek,3,3,"18.662273, 98.886264",10643,"https://www.google.com/maps?q=18.662273,98.886264",New listing
99,Apartment,"199 Moo 6, Chiang Mai",Chom Thong,San Na Meng,4,2,"18.960222, 99.000147",9261,"https://www.google.com/maps?q=18.960222,99.000147",Quiet area
100,Detached,"200 Moo 4, Chiang Mai",Samoeng,Nong Han,1,1,"18.697391, 98.912286",11379,"https://www.google.com/maps?q=18.697391,98.912286",Price negotiable
101,Apartment,"201 Moo 6, Chiang Mai",Omkoi,Mae Faek,2,2,"18.683329, 98.81581",9589,"https://www.google.com/maps?q=18.683329,98.81581",Great view
102,Apartment,"202 Moo 6, Chiang Mai",Doi Saket,Mae Faek,4,3,"18.713309, 98.923503",10333,"https://www.google.com/maps?q=18.713309,98.923503",Fully furnished
103,Villa,"203 Moo 8, Chiang Mai",Doi Tao,San Sai Luang,1,3,"18.609999, 98.874869",10925,"https://www.google.com/maps?q=18.609999,98.874869",Near school
104,Detached,"204 Moo 8, Chiang Mai",Mae Chaem,San Na Meng,3,1,"18.709171, 98.88973",8017,"https://www.google.com/maps?q=18.709171,98.88973",Renovated
105,Townhouse,"205 Moo 4, Chiang Mai",Doi Tao,San Sai Luang,1,1,"18.95741, 98.834644",7192,"https://www.google.com/maps?q=18.95741,98.834644",Price negotiable
106,Townhouse,"206 Moo 6, Chiang Mai",San Sai,San Sai Luang,1,1,"18.854541, 98.939567",11514,"https://www.google.com/maps?q=18.854541,98.939567",Near school
107,Condo,"207 Moo 7, Chiang Mai",Wiang Haeng,Mae Faek,5,2,"18.879757, 98.939268",12784,"https://www.google.com/maps?q=18.879757,98.939268",Near school
108,Detached,"208 Moo 9, Chiang Mai",Mae Wang,San Sai Luang,2,2,"18.899047, 98.989903",10413,"https://www.google.com/maps?q=18.899047,98.989903",Fully furnished
109,Detached,"209 Moo 9, Chiang Mai",Phrao,Mae Faek,5,1,"18.621596, 99.085482",8640,"https://www.google.com/maps?q=18.621596,99.085482",Quiet area
110,Detached,"210 Moo 1, Chiang Mai",Doi Tao,San Na Meng,5,3,"18.919967, 98.853414",6508,"https://www.google.com/maps?q=18.919967,98.853414",Investment opportunity
111,Apartment,"211 Moo 7, Chiang Mai",Hang Dong,Mae Faek,2,1,"18.698891, 98.881052",8865,"https://www.google.com/maps?q=18.698891,98.881052",Renovated
112,Villa,"212 Moo 4, Chiang Mai",Wiang Haeng,San Na Meng,5,3,"18.625747, 98.891688",12899,"https://www.google.com/maps?q=18.625747,98.891688",New listing
113,Apartment,"213 Moo 2, Chiang Mai",San Pa Tong,Mae Faek,2,1,"18.855639, 99.056441",12705,"https://www.google.com/maps?q=18.855639,99.056441",Fully furnished
114,Townhouse,"214 Moo 4, Chiang Mai",Mae Taeng,Nong Han,5,3,"18.9106, 98.953002",9442,"https://www.google.com/maps?q=18.9106,98.953002",Price negotiable
115,Apartment,"215 Moo 5, Chiang Mai",Mae Chaem,San Na Meng,5,3,"18.964225, 98.913269",9000,"https://www.google.com/maps?q=18.964225,98.913269",Urgent sale
116,Apartment,"216 Moo 3, Chiang Mai",San Kamphaeng,Nong Han,4,2,"18.731124, 99.096172",7458,"https://www.google.com/maps?q=18.731124,99.096172",Near school
117,Detached,"217 Moo 6, Chiang Mai",Wiang Haeng,San Sai Luang,2,1,"18.64322, 98.950383",11996,"https://www.google.com/maps?q=18.64322,98.950383",Renovated
118,Townhouse,"218 Moo 10, Chiang Mai",Mae Taeng,San Na Meng,1,1,"18.652389, 99.03911",12887,"https://www.google.com/maps?q=18.652389,99.03911",Fully furnished
119,Condo,"219 Moo 6, Chiang Mai",Samoeng,Mae Faek,2,1,"18.678736, 99.072636",8823,"https://www.google.com/maps?q=18.678736,99.072636",Renovated
120,Condo,"220 Moo 9, Chiang Mai",Mae Ai,San Sai Luang,1,1,"18.673858, 98.895216",10880,"https://www.google.com/maps?q=18.673858,98.895216",Great view
121,Condo,"221 Moo 5, Chiang Mai",Mae Chaem,Mae Faek,5,2,"18.791567, 98.911152",7688,"https://www.google.com/maps?q=18.791567,98.911152",Urgent sale
122,Townhouse,"222 Moo 10, Chiang Mai",Phrao,Nong Han,1,2,"18.983664, 98.830101",10352,"https://www.google.com/maps?q=18.983664,98.830101",Near school
123,Condo,"223 Moo 9, Chiang Mai",Mae Taeng,Nong Han,1,1,"18.85603, 98.946317",8958,"https://www.google.com/maps?q=18.85603,98.946317",Fully furnished
124,Condo,"224 Moo 6, Chiang Mai",Phrao,Nong Han,5,3,"18.63733, 98.843428",10097,"https://www.google.com/maps?q=18.63733,98.843428",Near school
125,Bungalow,"225 Moo 2, Chiang Mai",Phrao,San Sai Luang,4,2,"18.992423, 98.937318",11544,"https://www.google.com/maps?q=18.992423,98.937318",Fully furnished
126,Bungalow,"226 Moo 1, Chiang Mai",Hang Dong,Mae Faek,5,2,"18.807636, 98.815726",7603,"https://www.google.com/maps?q=18.807636,98.815726",Renovated
127,Apartment,"227 Moo 1, Chiang Mai",Mae Wang,San Na Meng,4,1,"18.992866, 99.095779",12692,"https://www.google.com/maps?q=18.992866,99.095779",New listing
128,Bungalow,"228 Moo 2, Chiang Mai",Doi Lo,Nong Han,5,3,"18.791657, 98.937439",8801,"https://www.google.com/maps?q=18.791657,98.937439",Fully furnished
129,Townhouse,"229 Moo 4, Chiang Mai",Doi Lo,San Na Meng,3,1,"18.964004, 99.048171",12149,"https://www.google.com/maps?q=18.964004,99.048171",Near school
130,Bungalow,"230 Moo 2, Chiang Mai",Mae On,Nong Han,2,3,"18.925153, 98.871888",8087,"https://www.google.com/maps?q=18.925153,98.871888",Fully furnished
131,Detached,"231 Moo 5, Chiang Mai",Hot,Nong Han,1,1,"18.943114, 98.871382",12298,"https://www.google.com/maps?q=18.943114,98.871382",Quiet area
132,Apartment,"232 Moo 1, Chiang Mai",Wiang Haeng,Mae Faek,1,3,"18.95569, 99.033399",9554,"https://www.google.com/maps?q=18.95569,99.033399",Investment opportunity
133,Townhouse,"233 Moo 7, Chiang Mai",Chom Thong,Mae Faek,1,2,"18.881089, 98.943395",8707,"https://www.google.com/maps?q=18.881089,98.943395",Price negotiable
134,Condo,"234 Moo 1, Chiang Mai",Omkoi,San Na Meng,4,2,"18.81978, 98.83153",12288,"https://www.google.com/maps?q=18.81978,98.83153",Renovated
135,Villa,"235 Moo 1, Chiang Mai",Mueang,Mae Faek,3,2,"18.97822, 98.867983",11784,"https://www.google.com/maps?q=18.97822,98.867983",Great view
136,Detached,"236 Moo 7, Chiang Mai",San Kamphaeng,San Sai Luang,3,2,"18.759475, 98.974563",8234,"https://www.google.com/maps?q=18.759475,98.974563",New listing
137,Condo,"237 Moo 8, Chiang Mai",Omkoi,Nong Han,3,1,"18.630553, 99.061796",12544,"https://www.google.com/maps?q=18.630553,99.061796",Price negotiable
138,Apartment,"238 Moo 4, Chiang Mai",Mae Chaem,San Na Meng,3,2,"18.654958, 99.093622",8140,"https://www.google.com/maps?q=18.654958,99.093622",Quiet area
139,Condo,"239 Moo 4, Chiang Mai",San Sai,San Sai Luang,3,2,"18.784065, 98.981662",10834,"https://www.google.com/maps?q=18.784065,98.981662",Near school
140,Detached,"240 Moo 8, Chiang Mai",Samoeng,Mae Faek,2,3,"18.891295, 98.846702",11397,"https://www.google.com/maps?q=18.891295,98.846702",Near school
141,Villa,"241 Moo 8, Chiang Mai",Mae Taeng,Nong Han,5,2,"18.700138, 98.934564",8535,"https://www.google.com/maps?q=18.700138,98.934564",Quiet area
142,Detached,"242 Moo 4, Chiang Mai",San Sai,Nong Han,3,3,"18.614783, 99.067755",9977,"https://www.google.com/maps?q=18.614783,99.067755",Fully furnished
143,Apartment,"243 Moo 7, Chiang Mai",Wiang Haeng,Mae Faek,4,3,"18.62683, 98.940261",12230,"https://www.google.com/maps?q=18.62683,98.940261",New listing
144,Townhouse,"244 Moo 10, Chiang Mai",Mueang,Mae Faek,4,3,"18.994784, 98.848514",10200,"https://www.google.com/maps?q=18.994784,98.848514",Quiet area
145,Bungalow,"245 Moo 8, Chiang Mai",Chiang Dao,Nong Han,4,3,"18.690928, 98.853469",11530,"https://www.google.com/maps?q=18.690928,98.853469",Investment opportunity
146,Detached,"246 Moo 7, Chiang Mai",Mae Taeng,Mae Faek,3,1,"18.765056, 99.022156",9746,"https://www.google.com/maps?q=18.765056,99.022156",Investment opportunity
147,Detached,"247 Moo 6, Chiang Mai",Doi Tao,San Na Meng,3,1,"18.823624, 98.910098",12540,"https://www.google.com/maps?q=18.823624,98.910098",Fully furnished
148,Condo,"248 Moo 2, Chiang Mai",Phrao,San Sai Luang,2,3,"18.669955, 98.854433",6739,"https://www.google.com/maps?q=18.669955,98.854433",Price negotiable
149,Bungalow,"249 Moo 4, Chiang Mai",Phrao,Nong Han,5,3,"18.905055, 98.983137",12170,"https://www.google.com/maps?q=18.905055,98.983137",Fully furnished
150,Condo,"250 Moo 9, Chiang Mai",Doi Tao,Nong Han,2,1,"18.750284, 98.826059",7971,"https://www.google.com/maps?q=18.750284,98.826059",Great view
151,Detached,"251 Moo 9, Chiang Mai",Phrao,Nong Han,1,3,"18.721232, 98.907217",12848,"https://www.google.com/maps?q=18.721232,98.907217",Price negotiable
152,Villa,"252 Moo 1, Chiang Mai",Hot,Nong Han,1,1,"18.773151, 98.950414",10104,"https://www.google.com/maps?q=18.773151,98.950414",Near school
153,Villa,"253 Moo 2, Chiang Mai",Doi Saket,San Na Meng,3,2,"18.648156, 99.08796",8802,"https://www.google.com/maps?q=18.648156,99.08796",Near school
154,Villa,"254 Moo 4, Chiang Mai",Doi Lo,San Sai Luang,3,3,"18.926829, 98.962729",7307,"https://www.google.com/maps?q=18.926829,98.962729",Urgent sale
155,Apartment,"255 Moo 7, Chiang Mai",Mae Rim,San Na Meng,1,3,"18.875044, 98.917642",7088,"https://www.google.com/maps?q=18.875044,98.917642",Urgent sale
156,Bungalow,"256 Moo 6, Chiang Mai",Mae Chaem,San Sai Luang,3,2,"18.816953, 98.916013",12271,"https://www.google.com/maps?q=18.816953,98.916013",Great view
157,Bungalow,"257 Moo 2, Chiang Mai",Mueang,San Na Meng,1,1,"18.933549, 99.069785",7301,"https://www.google.com/maps?q=18.933549,99.069785",Price negotiable
158,Townhouse,"258 Moo 7, Chiang Mai",Mae Rim,San Sai Luang,2,1,"18.895216, 99.011328",8855,"https://www.google.com/maps?q=18.895216,99.011328",Quiet area
159,Apartment,"259 Moo 6, Chiang Mai",Hot,Mae Faek,3,3,"18.729847, 98.807421",6999,"https://www.google.com/maps?q=18.729847,98.807421",Renovated
160,Apartment,"260 Moo 6, Chiang Mai",Mueang,Mae Faek,5,1,"18.777006, 98.914108",11256,"https://www.google.com/maps?q=18.777006,98.914108",Quiet area
161,Condo,"261 Moo 8, Chiang Mai",San Kamphaeng,San Sai Luang,2,2,"18.842683, 99.052031",9070,"https://www.google.com/maps?q=18.842683,99.052031",New listing
